"event_date","discovery_context","discovery_page","link_text","payload_url","role_guess","payload_opened"
"","INDEX","https://rmk.ee/kuulutused/metsa-ja-puidu-muuk/","","https://rmk.ee/wp-content/uploads/2025/01/Edukad_17.06.2024.xlsx","RESULT","False"
"","INDEX","https://rmk.ee/kuulutused/metsa-ja-puidu-muuk/","","https://rmk.ee/wp-content/uploads/2025/01/Edukad_EP_01.04.2024.xlsx","RESULT","False"
"","INDEX","https://rmk.ee/kuulutused/metsa-ja-puidu-muuk/","","https://rmk.ee/wp-content/uploads/2025/01/Edukad_EP_03.05.2024.xlsx","RESULT","False"
"","INDEX","https://rmk.ee/kuulutused/metsa-ja-puidu-muuk/","","https://rmk.ee/wp-content/uploads/2025/01/Edukad_EP_05.07.2024.xlsx","RESULT","False"
"","INDEX","https://rmk.ee/kuulutused/metsa-ja-puidu-muuk/","","https://rmk.ee/wp-content/uploads/2025/01/Edukad_EP_20.02.2024.xlsx","RESULT","False"
"","INDEX","https://rmk.ee/kuulutused/metsa-ja-puidu-muuk/","","https://rmk.ee/wp-content/uploads/2025/01/Edukad_EP_23.12.2024.xlsx","RESULT","False"
"","INDEX","https://rmk.ee/kuulutused/metsa-ja-puidu-muuk/","","https://rmk.ee/wp-content/uploads/2025/01/Edukad_EP_30.09.2024.xlsx","RESULT","False"
"","INDEX","https://rmk.ee/kuulutused/metsa-ja-puidu-muuk/","","https://rmk.ee/wp-content/uploads/2025/01/Edukad_EP_30.10.2024.xlsx","RESULT","False"
"","INDEX","https://rmk.ee/kuulutused/metsa-ja-puidu-muuk/","","https://rmk.ee/wp-content/uploads/2025/01/Edukad_proto_ep_09.05.2024.pdf","RESULT","False"
"","INDEX","https://rmk.ee/kuulutused/metsa-ja-puidu-muuk/","","https://rmk.ee/wp-content/uploads/2025/01/RMK_02.11.2023_KL_edukad_pakkumised.xlsx","RESULT","False"
"","INDEX","https://rmk.ee/kuulutused/metsa-ja-puidu-muuk/","","https://rmk.ee/wp-content/uploads/2025/01/RMK_15.11.2024_KL_edukad.xlsx","RESULT","False"
"","INDEX","https://rmk.ee/kuulutused/metsa-ja-puidu-muuk/","","https://rmk.ee/wp-content/uploads/2025/01/RMK_2024_II_kv_KL_edukad_pakkumised.xlsx","RESULT","False"
"","INDEX","https://rmk.ee/kuulutused/metsa-ja-puidu-muuk/","","https://rmk.ee/wp-content/uploads/2025/01/RMK_2024_III_kv_KL_edukad_pakkumised.xlsx","RESULT","False"
"","INDEX","https://rmk.ee/kuulutused/metsa-ja-puidu-muuk/","","https://rmk.ee/wp-content/uploads/2025/01/RMK_2024_IV_kv_-tarneperiood_KL_edukad.xlsx","RESULT","False"
"","INDEX","https://rmk.ee/kuulutused/metsa-ja-puidu-muuk/","","https://rmk.ee/wp-content/uploads/2025/03/Edukad_EP_20.03.2025.xlsx","RESULT","False"
"","INDEX","https://rmk.ee/kuulutused/metsa-ja-puidu-muuk/","","https://rmk.ee/wp-content/uploads/2025/03/EdukadEP_26.02.2025.xlsx","RESULT","False"
"","INDEX","https://rmk.ee/kuulutused/metsa-ja-puidu-muuk/","","https://rmk.ee/wp-content/uploads/2025/03/KL_virnmaterjali_edukad_2025_II_kvartal.xlsx","RESULT","False"
"","INDEX","https://rmk.ee/kuulutused/metsa-ja-puidu-muuk/","","https://rmk.ee/wp-content/uploads/2025/04/Edukad_KLH_24.04.2025.xlsx","RESULT","False"
"","INDEX","https://rmk.ee/kuulutused/metsa-ja-puidu-muuk/","","https://rmk.ee/wp-content/uploads/2025/05/Edukad_EP06.05.2025.xlsx","RESULT","False"
