"source_path","item_type","discovered_under","match_basis","file_count_recursive","byte_count_recursive","latest_write_time_utc","sha256_if_file","inventory_state","source_lineage","canonical_destination","disposition"
"C:\Users\User\Documents\Codex\2026-08-01\referenced-chatgpt-conversation-this-is-an-2\execute_bayme_local_cartography_2026_07_31.py","FILE","C:\Users\User\Documents\Codex","PATH_NAME","1","19136","2026-08-02T19:08:16.1288682Z",,"FILE_HASH_DEFERRED_TO_ADJUDICATED_CUSTODY","UNRESOLVED_SOURCE_LINEAGE","UNCLASSIFIED_PENDING_CONTENT_REVIEW","PRESERVE_READ_ONLY_PENDING_UNIT_REVIEW"
"C:\Users\User\Documents\Codex\2026-08-01\referenced-chatgpt-conversation-this-is-an-2\execute_bayme_zpost_2026_07_31.py","FILE","C:\Users\User\Documents\Codex","PATH_NAME","1","17293","2026-08-01T10:54:59.5618754Z",,"FILE_HASH_DEFERRED_TO_ADJUDICATED_CUSTODY","UNRESOLVED_SOURCE_LINEAGE","UNCLASSIFIED_PENDING_CONTENT_REVIEW","PRESERVE_READ_ONLY_PENDING_UNIT_REVIEW"
"C:\Users\User\Documents\Codex\2026-08-01\referenced-chatgpt-conversation-this-is-an-2\outputs\BayME_Galicia_Xurelo_2026-07-31_evidence_closure_v0.1","DIRECTORY","C:\Users\User\Documents\Codex","PATH_NAME",,,"2026-08-01T06:36:02.1295183Z",,"DIRECTORY_AGGREGATION_DEFERRED_TO_DEDUP_MANIFEST","UNRESOLVED_SOURCE_LINEAGE","UNCLASSIFIED_PENDING_CONTENT_REVIEW","PRESERVE_READ_ONLY_PENDING_UNIT_REVIEW"
"C:\Users\User\Documents\Codex\2026-08-01\referenced-chatgpt-conversation-this-is-an-2\outputs\BayME_Galicia_Xurelo_2026-07-31_evidence_closure_v0.1.zip","FILE","C:\Users\User\Documents\Codex","PATH_NAME","1","5889","2026-08-01T06:36:03.4277412Z",,"FILE_HASH_DEFERRED_TO_ADJUDICATED_CUSTODY","UNRESOLVED_SOURCE_LINEAGE","UNCLASSIFIED_PENDING_CONTENT_REVIEW","PRESERVE_READ_ONLY_PENDING_UNIT_REVIEW"
"C:\Users\User\Documents\Codex\2026-08-01\referenced-chatgpt-conversation-this-is-an-2\outputs\BayME_Galicia_Xurelo_2026-07-31_evidence_closure_v0.1.zip.sha256","FILE","C:\Users\User\Documents\Codex","PATH_NAME","1","125","2026-08-01T06:36:03.4599081Z",,"FILE_HASH_DEFERRED_TO_ADJUDICATED_CUSTODY","UNRESOLVED_SOURCE_LINEAGE","UNCLASSIFIED_PENDING_CONTENT_REVIEW","PRESERVE_READ_ONLY_PENDING_UNIT_REVIEW"
"C:\Users\User\Documents\Codex\2026-08-01\referenced-chatgpt-conversation-this-is-an-2\outputs\BayME_Galicia_Xurelo_2026-07-31_evidence_closure_v0.1\README.md","FILE","C:\Users\User\Documents\Codex","CONTENT_ANCHOR","1","3208","2026-08-01T06:35:37.5985796Z",,"FILE_HASH_DEFERRED_TO_ADJUDICATED_CUSTODY","UNRESOLVED_SOURCE_LINEAGE","UNCLASSIFIED_PENDING_CONTENT_REVIEW","PRESERVE_READ_ONLY_PENDING_UNIT_REVIEW"
"C:\Users\User\Documents\Codex\2026-08-01\referenced-chatgpt-conversation-this-is-an-2\outputs\BayME_Galicia_Xurelo_2026-07-31_evidence_closure_v0.1\result_claims.csv","FILE","C:\Users\User\Documents\Codex","CONTENT_ANCHOR","1","1713","2026-08-01T06:35:37.6005752Z",,"FILE_HASH_DEFERRED_TO_ADJUDICATED_CUSTODY","UNRESOLVED_SOURCE_LINEAGE","UNCLASSIFIED_PENDING_CONTENT_REVIEW","PRESERVE_READ_ONLY_PENDING_UNIT_REVIEW"
"C:\Users\User\Documents\Codex\2026-08-01\referenced-chatgpt-conversation-this-is-an-2\outputs\BayME_Galicia_Xurelo_2026-07-31_evidence_closure_v0.1\source_reference.json","FILE","C:\Users\User\Documents\Codex","CONTENT_ANCHOR","1","1765","2026-08-01T06:35:37.5995785Z",,"FILE_HASH_DEFERRED_TO_ADJUDICATED_CUSTODY","UNRESOLVED_SOURCE_LINEAGE","UNCLASSIFIED_PENDING_CONTENT_REVIEW","PRESERVE_READ_ONLY_PENDING_UNIT_REVIEW"
"C:\Users\User\Documents\Codex\2026-08-01\referenced-chatgpt-conversation-this-is-an-2\outputs\BayME_Galicia_Xurelo_2026-07-31_evidence_closure_v0.1\z_post_decision.json","FILE","C:\Users\User\Documents\Codex","CONTENT_ANCHOR","1","1620","2026-08-01T06:35:37.6035669Z",,"FILE_HASH_DEFERRED_TO_ADJUDICATED_CUSTODY","UNRESOLVED_SOURCE_LINEAGE","UNCLASSIFIED_PENDING_CONTENT_REVIEW","PRESERVE_READ_ONLY_PENDING_UNIT_REVIEW"
"C:\Users\User\Documents\Codex\2026-08-01\referenced-chatgpt-conversation-this-is-an-2\outputs\BayME_Galicia_Xurelo_LOCAL_Z_POST_2026-07-31_v0.6.0","DIRECTORY","C:\Users\User\Documents\Codex","PATH_NAME",,,"2026-08-02T19:08:59.6648656Z",,"DIRECTORY_AGGREGATION_DEFERRED_TO_DEDUP_MANIFEST","UNRESOLVED_SOURCE_LINEAGE","UNCLASSIFIED_PENDING_CONTENT_REVIEW","PRESERVE_READ_ONLY_PENDING_UNIT_REVIEW"
