"container_sha256","container_extension","representative_path","member_path","member_type","uncompressed_bytes","compressed_bytes","member_sha256","read_state"
"0749C9D5189B6644B843E21534A5D8E8010B72B73FD4A39DD789C9D0D2E7380D",".zip","C:\Users\User\Documents\Codex\2026-08-01\referenced-chatgpt-conversation-this-is-an-2\outputs\BayME_Galicia_Xurelo_Z_POST_2026-07-31_v0.5.9.zip","BayME_Galicia_Xurelo_Z_POST_2026-07-31_v0.5.9/EVIDENCE_LEDGER.csv","FILE","1962","941","8A0858EFCD8C125EAE788CF5E4CC421D72BB1A9416D90980637CCE706084E30F","DECOMPRESSED_BYTES_HASHED"
"0749C9D5189B6644B843E21534A5D8E8010B72B73FD4A39DD789C9D0D2E7380D",".zip","C:\Users\User\Documents\Codex\2026-08-01\referenced-chatgpt-conversation-this-is-an-2\outputs\BayME_Galicia_Xurelo_Z_POST_2026-07-31_v0.5.9.zip","BayME_Galicia_Xurelo_Z_POST_2026-07-31_v0.5.9/execute_bayme_zpost_2026_07_31.py","FILE","17293","5822","70F0DB979DCE6190A5577949704E058E9BBCFBCCA9DEF54E234B76CCD41B7F65","DECOMPRESSED_BYTES_HASHED"
"0749C9D5189B6644B843E21534A5D8E8010B72B73FD4A39DD789C9D0D2E7380D",".zip","C:\Users\User\Documents\Codex\2026-08-01\referenced-chatgpt-conversation-this-is-an-2\outputs\BayME_Galicia_Xurelo_Z_POST_2026-07-31_v0.5.9.zip","BayME_Galicia_Xurelo_Z_POST_2026-07-31_v0.5.9/HURDLE_SHADOW_ADJUDICATION_2026-07-31.json","FILE","17723","3206","65FA53EC5D0A189E62B08085E2FC14F0143DF98B18A0EA65EBDB11376B365918","DECOMPRESSED_BYTES_HASHED"
"0749C9D5189B6644B843E21534A5D8E8010B72B73FD4A39DD789C9D0D2E7380D",".zip","C:\Users\User\Documents\Codex\2026-08-01\referenced-chatgpt-conversation-this-is-an-2\outputs\BayME_Galicia_Xurelo_Z_POST_2026-07-31_v0.5.9.zip","BayME_Galicia_Xurelo_Z_POST_2026-07-31_v0.5.9/HURDLE_SHADOW_SCORES_2026-07-31.csv","FILE","5156","1917","4B5CCD756915B08C7F7C205D08464A7DEA4C3185504D472AAD0E737408557C0A","DECOMPRESSED_BYTES_HASHED"
"0749C9D5189B6644B843E21534A5D8E8010B72B73FD4A39DD789C9D0D2E7380D",".zip","C:\Users\User\Documents\Codex\2026-08-01\referenced-chatgpt-conversation-this-is-an-2\outputs\BayME_Galicia_Xurelo_Z_POST_2026-07-31_v0.5.9.zip","BayME_Galicia_Xurelo_Z_POST_2026-07-31_v0.5.9/MANIFEST_SHA256.txt","FILE","821","526","EC007B20097BA7D9DEFF725378227BE0E6C32C26933761B63253EF1C5DC3F259","DECOMPRESSED_BYTES_HASHED"
"0749C9D5189B6644B843E21534A5D8E8010B72B73FD4A39DD789C9D0D2E7380D",".zip","C:\Users\User\Documents\Codex\2026-08-01\referenced-chatgpt-conversation-this-is-an-2\outputs\BayME_Galicia_Xurelo_Z_POST_2026-07-31_v0.5.9.zip","BayME_Galicia_Xurelo_Z_POST_2026-07-31_v0.5.9/REPORT.md","FILE","2173","1232","9547D25E06AC759E582DA56A112C1827568A4699BB83D691CFD8CF60E1F70A32","DECOMPRESSED_BYTES_HASHED"
"0749C9D5189B6644B843E21534A5D8E8010B72B73FD4A39DD789C9D0D2E7380D",".zip","C:\Users\User\Documents\Codex\2026-08-01\referenced-chatgpt-conversation-this-is-an-2\outputs\BayME_Galicia_Xurelo_Z_POST_2026-07-31_v0.5.9.zip","BayME_Galicia_Xurelo_Z_POST_2026-07-31_v0.5.9/source_packages/BayME_GALICIA_2026_07_31_INPUTS_OUTPUTS.zip","FILE","114060","52722","9D7233FA04F098F0D3C7A58A41971EE666CCB4B0275332B82E7A5007575EE8FD","DECOMPRESSED_BYTES_HASHED"
"0749C9D5189B6644B843E21534A5D8E8010B72B73FD4A39DD789C9D0D2E7380D",".zip","C:\Users\User\Documents\Codex\2026-08-01\referenced-chatgpt-conversation-this-is-an-2\outputs\BayME_Galicia_Xurelo_Z_POST_2026-07-31_v0.5.9.zip","BayME_Galicia_Xurelo_Z_POST_2026-07-31_v0.5.9/source_packages/BayME_GALICIA_ALL_OUTPUTS_v0_5_8.zip","FILE","4607879","4580203","E98C83D1638CB009B8F25CB10A66EC8A183AED632C724640A8B4D16434A746CA","DECOMPRESSED_BYTES_HASHED"
"0749C9D5189B6644B843E21534A5D8E8010B72B73FD4A39DD789C9D0D2E7380D",".zip","C:\Users\User\Documents\Codex\2026-08-01\referenced-chatgpt-conversation-this-is-an-2\outputs\BayME_Galicia_Xurelo_Z_POST_2026-07-31_v0.5.9.zip","BayME_Galicia_Xurelo_Z_POST_2026-07-31_v0.5.9/Z_POST_PRICE_2026-07-31.json","FILE","7046","2568","1348818D6E200E9170CEDE9E8BD1C2215BB5EF53CEBBC11C2B2C2EC68E66EFEC","DECOMPRESSED_BYTES_HASHED"
"1176B7D1EC4E69F070FA81657DF5DD33D638F9F388CCBA8D82985AAB845DB9C9",".zip","C:\Users\User\Documents\Codex\2026-08-01\referenced-chatgpt-conversation-this-is-an-2\outputs\BayME_Galicia_Xurelo_2026-07-31_evidence_closure_v0.1.zip","BayME_Galicia_Xurelo_2026-07-31_evidence_closure_v0.1\evidence_ledger.csv","FILE","1102","509","9F6FDD23D6C48F90FF0368A90C16BB1517423EB56F46415BFDF2CED8ABF8CD90","DECOMPRESSED_BYTES_HASHED"
