"container_sha256","extension","physical_replica_count","representative_path","representative_bytes","member_rows","state"
"0749C9D5189B6644B843E21534A5D8E8010B72B73FD4A39DD789C9D0D2E7380D",".zip","1","C:\Users\User\Documents\Codex\2026-08-01\referenced-chatgpt-conversation-this-is-an-2\outputs\BayME_Galicia_Xurelo_Z_POST_2026-07-31_v0.5.9.zip","4651263","9","ZIP_CENTRAL_DIRECTORY_AND_ALL_MEMBER_BYTES_READ"
"1176B7D1EC4E69F070FA81657DF5DD33D638F9F388CCBA8D82985AAB845DB9C9",".zip","1","C:\Users\User\Documents\Codex\2026-08-01\referenced-chatgpt-conversation-this-is-an-2\outputs\BayME_Galicia_Xurelo_2026-07-31_evidence_closure_v0.1.zip","5889","6","ZIP_CENTRAL_DIRECTORY_AND_ALL_MEMBER_BYTES_READ"
"34B8864FE7D6D1D39C076C5CEFB3702D992D43EC4A08A6812A645AB7657AF9B7",".zip","2","C:\Users\User\Documents\Codex\2026-08-10\bma-terra-succession-20260810\work\bma-v065-validation\bma-v065-b732c53.zip","131996730","293","ZIP_CENTRAL_DIRECTORY_AND_ALL_MEMBER_BYTES_READ"
"50CDDB9E92848C5771B9F2B6617429B28E1B928813A850527B708FCBCBD50B3D",".zip","1","C:\Users\User\Documents\Codex\2026-08-01\referenced-chatgpt-conversation-this-is-an-2\outputs\BayME_Galicia_Xurelo_LOCAL_Z_POST_2026-07-31_v0.6.0.zip","4656195","10","ZIP_CENTRAL_DIRECTORY_AND_ALL_MEMBER_BYTES_READ"
"8A02E16E38BFE1B8BB00BEB53AB4EB098DCC27024B67DE47FB28429968E053DA",".pdf","1","C:\Users\User\Documents\Codex\b58\Statistical_Programming_BayME_EVE_TRANSFER_PACK_v0_5_8\deliverables\Statistical_Programming_BayME_EVE_Canonical_v0_1.pdf","523145","1","PDF_OUTER_BYTES_HASHED_SEMANTIC_READ_PENDING"
"9A51FB9ADC302B9F607A5B7B04CA7850FB4ACA1DFC6325F54F66E7646C481702",".rar","2","C:\Users\User\Documents\Codex\2026-08-14\unlikely-loop-kch-successor-2026-08-14\custody\canonical-local-jurisdiction-play-2026-08-14\raw\BAYME_MERCABARNA_FLOR_GALICIA_PORT_v0.4_acl_quarantine_20260809.rar","468404","71","RAR_DIRECTORY_AND_ALL_MEMBER_BYTES_STREAMED_AND_HASHED"
"9D7233FA04F098F0D3C7A58A41971EE666CCB4B0275332B82E7A5007575EE8FD",".zip","4","C:\Users\User\Documents\Codex\2026-08-01\referenced-chatgpt-conversation-this-is-an-2\outputs\BayME_Galicia_Xurelo_LOCAL_Z_POST_2026-07-31_v0.6.0\source_packages\BayME_GALICIA_2026_07_31_INPUTS_OUTPUTS.zip","114060","86","ZIP_CENTRAL_DIRECTORY_AND_ALL_MEMBER_BYTES_READ"
"9ED894677D54E4926BFA05E89E821D637D4F7B4EBD2678A71929513BEDA3A760",".docx","1","C:\Users\User\Documents\Codex\b58\Statistical_Programming_BayME_EVE_TRANSFER_PACK_v0_5_8\deliverables\Statistical_Programming_BayME_EVE_Canonical_v0_1.docx","413628","20","ZIP_CENTRAL_DIRECTORY_AND_ALL_MEMBER_BYTES_READ"
"D43AA310CE6B77E1A5FF36A462176C321DF090619656DCC947490F5C20DB1365",".whl","1","C:\Users\User\Documents\Codex\b58\Statistical_Programming_BayME_EVE_TRANSFER_PACK_v0_5_8\deliverables\bayme_statprog-0.1.0a1-py3-none-any.whl","10066","12","ZIP_CENTRAL_DIRECTORY_AND_ALL_MEMBER_BYTES_READ"
"E98C83D1638CB009B8F25CB10A66EC8A183AED632C724640A8B4D16434A746CA",".zip","4","C:\Users\User\Documents\Codex\2026-08-01\referenced-chatgpt-conversation-this-is-an-2\outputs\BayME_Galicia_Xurelo_LOCAL_Z_POST_2026-07-31_v0.6.0\source_packages\BayME_GALICIA_ALL_OUTPUTS_v0_5_8.zip","4607879","105","ZIP_CENTRAL_DIRECTORY_AND_ALL_MEMBER_BYTES_READ"
