"source_path","discovered_under","match_basis","extension","is_container_or_compound_document","v2_recorded_bytes","v3_observed_bytes","byte_count_matches_v2","sha256","hash_state","resolution_receipt","dedup_group_size","replica_state","source_lineage","canonical_destination","disposition"
"C:\Users\User\Documents\Codex\2026-08-01\referenced-chatgpt-conversation-this-is-an-2\outputs\BayME_Galicia_Xurelo_2026-07-31_evidence_closure_v0.1.zip","C:\Users\User\Documents\Codex","PATH_NAME",".zip","True","5889","5889","True","1176B7D1EC4E69F070FA81657DF5DD33D638F9F388CCBA8D82985AAB845DB9C9","HASHED_SHA256",,"1","UNIQUE_BYTES_WITHIN_V2_CANDIDATE_SET","UNRESOLVED_SOURCE_LINEAGE","UNCLASSIFIED_PENDING_CONTENT_REVIEW","PRESERVE_READ_ONLY_PENDING_CONTENT_ADJUDICATION"
"C:\Users\User\Documents\Codex\2026-08-01\referenced-chatgpt-conversation-this-is-an-2\outputs\BayME_Galicia_Xurelo_LOCAL_Z_POST_2026-07-31_v0.6.0.zip","C:\Users\User\Documents\Codex","PATH_NAME",".zip","True","4656195","4656195","True","50CDDB9E92848C5771B9F2B6617429B28E1B928813A850527B708FCBCBD50B3D","HASHED_SHA256",,"1","UNIQUE_BYTES_WITHIN_V2_CANDIDATE_SET","UNRESOLVED_SOURCE_LINEAGE","UNCLASSIFIED_PENDING_CONTENT_REVIEW","PRESERVE_READ_ONLY_PENDING_CONTENT_ADJUDICATION"
"C:\Users\User\Documents\Codex\2026-08-01\referenced-chatgpt-conversation-this-is-an-2\outputs\BayME_Galicia_Xurelo_LOCAL_Z_POST_2026-07-31_v0.6.0\source_packages\BayME_GALICIA_2026_07_31_INPUTS_OUTPUTS.zip","C:\Users\User\Documents\Codex","PATH_NAME",".zip","True","114060","114060","True","9D7233FA04F098F0D3C7A58A41971EE666CCB4B0275332B82E7A5007575EE8FD","HASHED_SHA256",,"4","EXACT_BYTE_REPLICA_GROUP_MEMBER","UNRESOLVED_SOURCE_LINEAGE","UNCLASSIFIED_PENDING_CONTENT_REVIEW","PRESERVE_READ_ONLY_PENDING_CONTENT_ADJUDICATION"
"C:\Users\User\Documents\Codex\2026-08-01\referenced-chatgpt-conversation-this-is-an-2\outputs\BayME_Galicia_Xurelo_LOCAL_Z_POST_2026-07-31_v0.6.0\source_packages\BayME_GALICIA_ALL_OUTPUTS_v0_5_8.zip","C:\Users\User\Documents\Codex","PATH_NAME",".zip","True","4607879","4607879","True","E98C83D1638CB009B8F25CB10A66EC8A183AED632C724640A8B4D16434A746CA","HASHED_SHA256",,"4","EXACT_BYTE_REPLICA_GROUP_MEMBER","UNRESOLVED_SOURCE_LINEAGE","UNCLASSIFIED_PENDING_CONTENT_REVIEW","PRESERVE_READ_ONLY_PENDING_CONTENT_ADJUDICATION"
"C:\Users\User\Documents\Codex\2026-08-01\referenced-chatgpt-conversation-this-is-an-2\outputs\BayME_Galicia_Xurelo_Z_POST_2026-07-31_v0.5.9.zip","C:\Users\User\Documents\Codex","PATH_NAME",".zip","True","4651263","4651263","True","0749C9D5189B6644B843E21534A5D8E8010B72B73FD4A39DD789C9D0D2E7380D","HASHED_SHA256",,"1","UNIQUE_BYTES_WITHIN_V2_CANDIDATE_SET","UNRESOLVED_SOURCE_LINEAGE","UNCLASSIFIED_PENDING_CONTENT_REVIEW","PRESERVE_READ_ONLY_PENDING_CONTENT_ADJUDICATION"
"C:\Users\User\Documents\Codex\2026-08-01\referenced-chatgpt-conversation-this-is-an-2\outputs\BayME_Galicia_Xurelo_Z_POST_2026-07-31_v0.5.9\source_packages\BayME_GALICIA_2026_07_31_INPUTS_OUTPUTS.zip","C:\Users\User\Documents\Codex","PATH_NAME",".zip","True","114060","114060","True","9D7233FA04F098F0D3C7A58A41971EE666CCB4B0275332B82E7A5007575EE8FD","HASHED_SHA256",,"4","EXACT_BYTE_REPLICA_GROUP_MEMBER","UNRESOLVED_SOURCE_LINEAGE","UNCLASSIFIED_PENDING_CONTENT_REVIEW","PRESERVE_READ_ONLY_PENDING_CONTENT_ADJUDICATION"
"C:\Users\User\Documents\Codex\2026-08-01\referenced-chatgpt-conversation-this-is-an-2\outputs\BayME_Galicia_Xurelo_Z_POST_2026-07-31_v0.5.9\source_packages\BayME_GALICIA_ALL_OUTPUTS_v0_5_8.zip","C:\Users\User\Documents\Codex","PATH_NAME",".zip","True","4607879","4607879","True","E98C83D1638CB009B8F25CB10A66EC8A183AED632C724640A8B4D16434A746CA","HASHED_SHA256",,"4","EXACT_BYTE_REPLICA_GROUP_MEMBER","UNRESOLVED_SOURCE_LINEAGE","UNCLASSIFIED_PENDING_CONTENT_REVIEW","PRESERVE_READ_ONLY_PENDING_CONTENT_ADJUDICATION"
"C:\Users\User\Documents\Codex\2026-08-01\referenced-chatgpt-conversation-this-is-an-2\work\bayme_31_source\BayME_GALICIA_2026_07_31_INPUTS_OUTPUTS.zip","C:\Users\User\Documents\Codex","PATH_NAME",".zip","True","114060","114060","True","9D7233FA04F098F0D3C7A58A41971EE666CCB4B0275332B82E7A5007575EE8FD","HASHED_SHA256",,"4","EXACT_BYTE_REPLICA_GROUP_MEMBER","UNRESOLVED_SOURCE_LINEAGE","UNCLASSIFIED_PENDING_CONTENT_REVIEW","PRESERVE_READ_ONLY_PENDING_CONTENT_ADJUDICATION"
"C:\Users\User\Documents\Codex\2026-08-01\referenced-chatgpt-conversation-this-is-an-2\work\bayme_v0_5_8_source\BayME_GALICIA_ALL_OUTPUTS_v0_5_8.zip","C:\Users\User\Documents\Codex","PATH_NAME",".zip","True","4607879","4607879","True","E98C83D1638CB009B8F25CB10A66EC8A183AED632C724640A8B4D16434A746CA","HASHED_SHA256",,"4","EXACT_BYTE_REPLICA_GROUP_MEMBER","UNRESOLVED_SOURCE_LINEAGE","UNCLASSIFIED_PENDING_CONTENT_REVIEW","PRESERVE_READ_ONLY_PENDING_CONTENT_ADJUDICATION"
"C:\Users\User\Documents\Codex\2026-08-10\bma-terra-succession-20260810\work\bma-v065-b732c53.zip","C:\Users\User\Documents\Codex","PATH_NAME",".zip","True","131996730","131996730","True","34B8864FE7D6D1D39C076C5CEFB3702D992D43EC4A08A6812A645AB7657AF9B7","RESOLVED_BY_VERIFIED_REMOVAL_RECEIPT","C:\Users\User\Documents\Codex\2026-08-10\bma-terra-succession-20260810\governance\SPACE_RECOVERY_DUPLICATE_ZIP_20260816.json","2","EXACT_BYTE_REPLICA_GROUP_MEMBER","UNRESOLVED_SOURCE_LINEAGE","UNCLASSIFIED_PENDING_CONTENT_REVIEW","PRESERVE_READ_ONLY_PENDING_CONTENT_ADJUDICATION"
