"source_path","discovered_under","match_basis","extension","is_container_or_compound_document","v2_recorded_bytes","v3_observed_bytes","byte_count_matches_v2","sha256","hash_state","resolution_receipt","dedup_group_size","replica_state","source_lineage","canonical_destination","disposition"
"C:\Users\User\Documents\Codex\2026-08-01\referenced-chatgpt-conversation-this-is-an-2\execute_bayme_local_cartography_2026_07_31.py","C:\Users\User\Documents\Codex","PATH_NAME",".py","False","19136","19136","True","E041336DED10AA4B313213417E43476947C873B68F09F4F903A3416E797638E6","HASHED_SHA256",,"2","EXACT_BYTE_REPLICA_GROUP_MEMBER","UNRESOLVED_SOURCE_LINEAGE","UNCLASSIFIED_PENDING_CONTENT_REVIEW","PRESERVE_READ_ONLY_PENDING_CONTENT_ADJUDICATION"
"C:\Users\User\Documents\Codex\2026-08-01\referenced-chatgpt-conversation-this-is-an-2\execute_bayme_zpost_2026_07_31.py","C:\Users\User\Documents\Codex","PATH_NAME",".py","False","17293","17293","True","70F0DB979DCE6190A5577949704E058E9BBCFBCCA9DEF54E234B76CCD41B7F65","HASHED_SHA256",,"2","EXACT_BYTE_REPLICA_GROUP_MEMBER","UNRESOLVED_SOURCE_LINEAGE","UNCLASSIFIED_PENDING_CONTENT_REVIEW","PRESERVE_READ_ONLY_PENDING_CONTENT_ADJUDICATION"
"C:\Users\User\Documents\Codex\2026-08-01\referenced-chatgpt-conversation-this-is-an-2\outputs\BayME_Galicia_Xurelo_2026-07-31_evidence_closure_v0.1.zip","C:\Users\User\Documents\Codex","PATH_NAME",".zip","True","5889","5889","True","1176B7D1EC4E69F070FA81657DF5DD33D638F9F388CCBA8D82985AAB845DB9C9","HASHED_SHA256",,"1","UNIQUE_BYTES_WITHIN_V2_CANDIDATE_SET","UNRESOLVED_SOURCE_LINEAGE","UNCLASSIFIED_PENDING_CONTENT_REVIEW","PRESERVE_READ_ONLY_PENDING_CONTENT_ADJUDICATION"
"C:\Users\User\Documents\Codex\2026-08-01\referenced-chatgpt-conversation-this-is-an-2\outputs\BayME_Galicia_Xurelo_2026-07-31_evidence_closure_v0.1.zip.sha256","C:\Users\User\Documents\Codex","PATH_NAME",".sha256","False","125","125","True","CC0DF8313DDA5DD92AD35994070E91F2D8FBD27075FE536CF7BD304757450A11","HASHED_SHA256",,"1","UNIQUE_BYTES_WITHIN_V2_CANDIDATE_SET","UNRESOLVED_SOURCE_LINEAGE","UNCLASSIFIED_PENDING_CONTENT_REVIEW","PRESERVE_READ_ONLY_PENDING_CONTENT_ADJUDICATION"
"C:\Users\User\Documents\Codex\2026-08-01\referenced-chatgpt-conversation-this-is-an-2\outputs\BayME_Galicia_Xurelo_2026-07-31_evidence_closure_v0.1\README.md","C:\Users\User\Documents\Codex","CONTENT_ANCHOR",".md","False","3208","3208","True","E757220AEA1BF3C8B9750B7B413CA9FE51CA7C140D89C69F73BCA87BAC1906B2","HASHED_SHA256",,"1","UNIQUE_BYTES_WITHIN_V2_CANDIDATE_SET","UNRESOLVED_SOURCE_LINEAGE","UNCLASSIFIED_PENDING_CONTENT_REVIEW","PRESERVE_READ_ONLY_PENDING_CONTENT_ADJUDICATION"
"C:\Users\User\Documents\Codex\2026-08-01\referenced-chatgpt-conversation-this-is-an-2\outputs\BayME_Galicia_Xurelo_2026-07-31_evidence_closure_v0.1\result_claims.csv","C:\Users\User\Documents\Codex","CONTENT_ANCHOR",".csv","False","1713","1713","True","30DFA14850E1E7B89A2E84E62CA994F346A21DD65188B4FEC109ADE2CAEF112A","HASHED_SHA256",,"1","UNIQUE_BYTES_WITHIN_V2_CANDIDATE_SET","UNRESOLVED_SOURCE_LINEAGE","UNCLASSIFIED_PENDING_CONTENT_REVIEW","PRESERVE_READ_ONLY_PENDING_CONTENT_ADJUDICATION"
"C:\Users\User\Documents\Codex\2026-08-01\referenced-chatgpt-conversation-this-is-an-2\outputs\BayME_Galicia_Xurelo_2026-07-31_evidence_closure_v0.1\source_reference.json","C:\Users\User\Documents\Codex","CONTENT_ANCHOR",".json","False","1765","1765","True","419C94E72305111961332D71B48555F53CA7BA34AC5AB2BA5D465B09B644653E","HASHED_SHA256",,"1","UNIQUE_BYTES_WITHIN_V2_CANDIDATE_SET","UNRESOLVED_SOURCE_LINEAGE","UNCLASSIFIED_PENDING_CONTENT_REVIEW","PRESERVE_READ_ONLY_PENDING_CONTENT_ADJUDICATION"
"C:\Users\User\Documents\Codex\2026-08-01\referenced-chatgpt-conversation-this-is-an-2\outputs\BayME_Galicia_Xurelo_2026-07-31_evidence_closure_v0.1\z_post_decision.json","C:\Users\User\Documents\Codex","CONTENT_ANCHOR",".json","False","1620","1620","True","73C13FFB7DE780F49FAA65FFBDFC4C1CA1E715E3A2A1D187537D29A58C90A679","HASHED_SHA256",,"1","UNIQUE_BYTES_WITHIN_V2_CANDIDATE_SET","UNRESOLVED_SOURCE_LINEAGE","UNCLASSIFIED_PENDING_CONTENT_REVIEW","PRESERVE_READ_ONLY_PENDING_CONTENT_ADJUDICATION"
"C:\Users\User\Documents\Codex\2026-08-01\referenced-chatgpt-conversation-this-is-an-2\outputs\BayME_Galicia_Xurelo_LOCAL_Z_POST_2026-07-31_v0.6.0.zip","C:\Users\User\Documents\Codex","PATH_NAME",".zip","True","4656195","4656195","True","50CDDB9E92848C5771B9F2B6617429B28E1B928813A850527B708FCBCBD50B3D","HASHED_SHA256",,"1","UNIQUE_BYTES_WITHIN_V2_CANDIDATE_SET","UNRESOLVED_SOURCE_LINEAGE","UNCLASSIFIED_PENDING_CONTENT_REVIEW","PRESERVE_READ_ONLY_PENDING_CONTENT_ADJUDICATION"
"C:\Users\User\Documents\Codex\2026-08-01\referenced-chatgpt-conversation-this-is-an-2\outputs\BayME_Galicia_Xurelo_LOCAL_Z_POST_2026-07-31_v0.6.0.zip.sha256","C:\Users\User\Documents\Codex","PATH_NAME",".sha256","False","123","123","True","9F9195DE75138CCAFAFAAF11C61A688FD64AE79233FA031AE87D4C7911769E97","HASHED_SHA256",,"1","UNIQUE_BYTES_WITHIN_V2_CANDIDATE_SET","UNRESOLVED_SOURCE_LINEAGE","UNCLASSIFIED_PENDING_CONTENT_REVIEW","PRESERVE_READ_ONLY_PENDING_CONTENT_ADJUDICATION"
