"source_path","item_type","discovered_under","match_basis","file_count_recursive","byte_count_recursive","latest_write_time_utc","sha256_if_file","inventory_state","source_lineage","canonical_destination","disposition"
"C:\Users\User\Documents\Codex\2026-08-01\referenced-chatgpt-conversation-this-is-an-2\outputs\BayME_Galicia_Xurelo_2026-07-31_evidence_closure_v0.1","DIRECTORY","C:\Users\User\Documents\Codex","PATH_NAME","","","2026-08-01T06:36:02.1295183Z","","DIRECTORY_AGGREGATION_DEFERRED_TO_DEDUP_MANIFEST","UNRESOLVED_SOURCE_LINEAGE","UNCLASSIFIED_PENDING_CONTENT_REVIEW","PRESERVE_READ_ONLY_PENDING_UNIT_REVIEW"
"C:\Users\User\Documents\Codex\2026-08-01\referenced-chatgpt-conversation-this-is-an-2\outputs\BayME_Galicia_Xurelo_LOCAL_Z_POST_2026-07-31_v0.6.0","DIRECTORY","C:\Users\User\Documents\Codex","PATH_NAME","","","2026-08-02T19:08:59.6648656Z","","DIRECTORY_AGGREGATION_DEFERRED_TO_DEDUP_MANIFEST","UNRESOLVED_SOURCE_LINEAGE","UNCLASSIFIED_PENDING_CONTENT_REVIEW","PRESERVE_READ_ONLY_PENDING_UNIT_REVIEW"
"C:\Users\User\Documents\Codex\2026-08-01\referenced-chatgpt-conversation-this-is-an-2\outputs\BayME_Galicia_Xurelo_Z_POST_2026-07-31_v0.5.9","DIRECTORY","C:\Users\User\Documents\Codex","PATH_NAME","","","2026-08-01T10:55:45.9035738Z","","DIRECTORY_AGGREGATION_DEFERRED_TO_DEDUP_MANIFEST","UNRESOLVED_SOURCE_LINEAGE","UNCLASSIFIED_PENDING_CONTENT_REVIEW","PRESERVE_READ_ONLY_PENDING_UNIT_REVIEW"
"C:\Users\User\Documents\Codex\2026-08-01\referenced-chatgpt-conversation-this-is-an-2\work\bayme_31_source","DIRECTORY","C:\Users\User\Documents\Codex","PATH_NAME","","","2026-08-01T10:47:33.6049475Z","","DIRECTORY_AGGREGATION_DEFERRED_TO_DEDUP_MANIFEST","UNRESOLVED_SOURCE_LINEAGE","UNCLASSIFIED_PENDING_CONTENT_REVIEW","PRESERVE_READ_ONLY_PENDING_UNIT_REVIEW"
"C:\Users\User\Documents\Codex\2026-08-01\referenced-chatgpt-conversation-this-is-an-2\work\bayme_v0_5_8_extracted","DIRECTORY","C:\Users\User\Documents\Codex","PATH_NAME","","","2026-08-01T10:41:08.8402042Z","","DIRECTORY_AGGREGATION_DEFERRED_TO_DEDUP_MANIFEST","UNRESOLVED_SOURCE_LINEAGE","UNCLASSIFIED_PENDING_CONTENT_REVIEW","PRESERVE_READ_ONLY_PENDING_UNIT_REVIEW"
"C:\Users\User\Documents\Codex\2026-08-01\referenced-chatgpt-conversation-this-is-an-2\work\bayme_v0_5_8_extracted\Statistical_Programming_BayME_EVE_TRANSFER_PACK_v0_5_8","DIRECTORY","C:\Users\User\Documents\Codex","PATH_NAME","","","2026-08-01T10:41:08.8412022Z","","DIRECTORY_AGGREGATION_DEFERRED_TO_DEDUP_MANIFEST","UNRESOLVED_SOURCE_LINEAGE","UNCLASSIFIED_PENDING_CONTENT_REVIEW","PRESERVE_READ_ONLY_PENDING_UNIT_REVIEW"
"C:\Users\User\Documents\Codex\2026-08-01\referenced-chatgpt-conversation-this-is-an-2\work\bayme_v0_5_8_source","DIRECTORY","C:\Users\User\Documents\Codex","PATH_NAME","","","2026-08-01T10:41:07.0409599Z","","DIRECTORY_AGGREGATION_DEFERRED_TO_DEDUP_MANIFEST","UNRESOLVED_SOURCE_LINEAGE","UNCLASSIFIED_PENDING_CONTENT_REVIEW","PRESERVE_READ_ONLY_PENDING_UNIT_REVIEW"
"C:\Users\User\Documents\Codex\2026-08-07\bind-2026-khc-continuacion-canonica\work\BIND_2026_PRODUCTOS_ESPECIFICOS_v1\03_GRUPO_10_BAYME","DIRECTORY","C:\Users\User\Documents\Codex","PATH_NAME","","","2026-08-09T04:30:22.3034842Z","","DIRECTORY_AGGREGATION_DEFERRED_TO_DEDUP_MANIFEST","UNRESOLVED_SOURCE_LINEAGE","UNCLASSIFIED_PENDING_CONTENT_REVIEW","PRESERVE_READ_ONLY_PENDING_UNIT_REVIEW"
"C:\Users\User\Documents\Codex\2026-08-09\analiza-y-estudia-por-completo-este\BMA","DIRECTORY","C:\Users\User\Documents\Codex","PATH_NAME","","","2026-08-10T17:34:16.7142670Z","","DIRECTORY_AGGREGATION_DEFERRED_TO_DEDUP_MANIFEST","UNRESOLVED_SOURCE_LINEAGE","UNCLASSIFIED_PENDING_CONTENT_REVIEW","PRESERVE_READ_ONLY_PENDING_UNIT_REVIEW"
"C:\Users\User\Documents\Codex\2026-08-09\analiza-y-estudia-por-completo-este\BMA\src\bma","DIRECTORY","C:\Users\User\Documents\Codex","PATH_NAME","","","2026-08-09T10:31:26.9902309Z","","DIRECTORY_AGGREGATION_DEFERRED_TO_DEDUP_MANIFEST","UNRESOLVED_SOURCE_LINEAGE","UNCLASSIFIED_PENDING_CONTENT_REVIEW","PRESERVE_READ_ONLY_PENDING_UNIT_REVIEW"
"C:\Users\User\Documents\Codex\2026-08-09\analiza-y-estudia-por-completo-este\work\BMA_local_runs_20260809","DIRECTORY","C:\Users\User\Documents\Codex","PATH_NAME","","","2026-08-09T09:02:57.6776871Z","","DIRECTORY_AGGREGATION_DEFERRED_TO_DEDUP_MANIFEST","UNRESOLVED_SOURCE_LINEAGE","UNCLASSIFIED_PENDING_CONTENT_REVIEW","PRESERVE_READ_ONLY_PENDING_UNIT_REVIEW"
"C:\Users\User\Documents\Codex\2026-08-09\analiza-y-estudia-por-completo-este\work\BMA_mercabarna_flor_training_2026-07-01_to_20","DIRECTORY","C:\Users\User\Documents\Codex","PATH_NAME","","","2026-08-09T09:11:24.3811549Z","","DIRECTORY_AGGREGATION_DEFERRED_TO_DEDUP_MANIFEST","UNRESOLVED_SOURCE_LINEAGE","UNCLASSIFIED_PENDING_CONTENT_REVIEW","PRESERVE_READ_ONLY_PENDING_UNIT_REVIEW"
